codeP,date,spe,sp_check,region,site,depth,season,P,I,Volume,Weight,Surface,Vi,V.bio,W.fil,W.fil.tis,W.fil.tis.bur,countS.1,countS.2,countS.3,countS.4,countS.5,countS.6,countC.1,countC.2,countC.3,countC.4,countC.5,countC.6,V.chl.slurry,V.extraction.T,V.extraction.S,A750T,A664T,A647T,A630T,A750S,A664S,A647S,A630S,SDS1V,V.prot.slurry,STC,STCX4,STCX3,STCX2,STCX1,STCE,abs.prot.blank,abs.prot.zoox1,abs.prot.zoox2,abs.prot.zoox3,abs.prot.host1,abs.prot.host2,abs.prot.host3,STC-2 (for host),STCX4b,STCX3b,STCX2b,STCX1b,STCEb,abs.prot.blank.b,Hdelta15N,Hdelta13C,Zdelta15N,Zdelta13C,H_N%,H_C%,Z_N%,Z_C%,SST_mean,SST_sd,light_mean,light_sd
CYPSS1,19/07/2017,C. microphthalma,1,GI,Guiwan ,10,s,1,1,75203.4219,123.3383,14014.5859,10,1,0.0849,0.1053,0.0993,156,135,133,125,150,146,46,39,36,30,28,31,3,10,10,-0.004,0.256,0.073,0.082,0.002,1.057,0.756,0.332,3,5,STC.2017.12.26,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,0.6386,0.6591,NA,0.8324,0.8426,NA,NA,NA,NA,NA,NA,NA,NA,1.83,-13.999,2.702,-14.101,0.691975,6.693119,2.6466014,25.105365,28.34967213,1.07605602,44.06271592,4.294457341
CYPSS2,20/07/2017,C. microphthalma,1,GI,Guiwan ,10,s,1,1,26555.6563,39.1893,9045.9922,10,1,0.0901,0.1098,0.1037,170,255,185,210,280,245,18,17,9,14,10,18,3,10,10,-0.004,0.241,0.066,0.074,-0.002,0.832,0.459,0.21,3,5,STC.2017.12.26,-5.6885,-18.664,257.41,584.9,1.1277,0.08825,0.7458,NA,NA,1.3408,1.368,NA,NA,NA,NA,NA,NA,NA,NA,-2.277,-17.688,2.908,-16.573,0.5190122,4.299195,3.8636968,28.9800531,28.34967213,1.07605602,44.06271592,4.294457341
CYPDS3,18/07/2017,C. microphthalma,1,GI,Guiwan ,40,s,1,1,7072.917,14.0158,2852.8005,10,1,0.09,0.1082,0.1033,116,175,166,145,140,204,11,30,19,26,10,30,3,10,10,0.001,0.054,0.017,0.021,0.012,1.86,1.153,0.529,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,0.4465,0.382,NA,0.678,0.6732,NA,NA,NA,NA,NA,NA,NA,NA,2.881,-17.461,3.726,-17.461,0.4138572,38.9706592,4.0288953,38.9706592,28.34967213,1.07605602,19.06912032,4.17121641
CYPSB2,27/04/2017,C. microphthalma,1,NT,Bitou,10,w,1,1,2613.8318,3.4935,2679.374,10,1,0.0901,0.1128,0.1051,415,365,530,420,445,300,21,8,9,14,17,17,3,10,10,0.005,0.739,0.212,0.234,0.005,0.981,0.393,0.257,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,1.371,1.3427,NA,2.1436,2.1775,NA,NA,NA,NA,NA,NA,NA,NA,4.181,-16.227,3.897,-16.483,0.5941621,5.5609643,3.42985,32.19594,21.37372881,0.778337969,19.68947976,3.481554209
CYPSB4,27/04/2017,C. microphthalma,1,NT,Bitou,6,w,1,1,10609.0889,14.3423,6337.4756,10,1,0.0894,0.1148,0.1057,385,240,300,395,365,335,36,37,16,31,20,29,3,10,10,0.002,0.57,0.165,0.178,0.008,1.11,0.572,0.3,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,1.4489,1.4209,NA,2.3495,2.3752,NA,NA,NA,NA,NA,NA,NA,NA,5.101,-16.698,4.715,-15.556,0.6090764,4.6752248,3.2658881,24.9065541,21.37372881,0.778337969,26.51688468,2.57150626
CYPSB6,27/04/2017,C. microphthalma,1,NT,Bitou,10,w,1,1,21317.2344,29.1715,6238.5854,10,1,0.0899,0.1103,0.1036,310,245,205,160,185,235,13,26,26,38,26,42,3,10,10,0.001,0.333,0.097,0.109,0.005,0.728,0.318,0.199,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,0.9242,0.9389,NA,1.7106,1.7434,NA,NA,NA,NA,NA,NA,NA,NA,4.731,-16.879,4.14,-16.742,0.7926566,7.8498875,3.4309633,30.4473721,21.37372881,0.778337969,19.68947976,3.481554209
CYPSB7,27/04/2017,C. microphthalma,1,NT,Bitou,10,w,1,1,6410.6582,10.4852,2729.6289,11,1,0.0902,0.1118,0.1043,465,390,480,350,430,410,20,26,23,35,25,26,3,10,10,0.002,0.518,0.147,0.158,0.004,1.139,0.657,0.332,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,1.1679,1.1698,NA,2.3031,2.3756,NA,NA,NA,NA,NA,NA,NA,NA,5.119,-16.515,3.6,-16.987,0.6820602,7.3491136,3.5581918,32.38945,21.37372881,0.778337969,19.68947976,3.481554209
CYPSB9,27/04/2017,C. microphthalma,1,NT,Bitou,10,w,1,1,12249.7295,18.2007,7684.6699,10,1,0.0887,0.1079,0.1018,250,190,185,270,255,320,8,14,10,20,9,28,3,10,10,0.001,0.312,0.088,0.1,0.004,0.89,0.487,0.251,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,0.8357,0.8729,NA,1.6148,1.6584,NA,NA,NA,NA,NA,NA,NA,NA,4.552,-16.721,4.994,-16.375,0.7385075,6.4739293,3.300385,33.6828277,21.37372881,0.778337969,19.68947976,3.481554209
CYPSB11,27/04/2017,C. microphthalma,1,NT,Bitou,10,w,1,1,9475.5391,31.8472,5391.9976,10,1,0.0897,0.1183,0.1076,490,565,410,410,350,385,82,117,32,65,45,59,3,10,10,0.005,0.448,0.134,0.156,0.007,1.364,0.824,0.41,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,0.9694,0.9987,NA,NA,1.7901,NA,NA,NA,NA,NA,NA,NA,NA,2.747,-16.452,4.203,-16.225,0.6082128,4.4213376,3.3727038,30.4867756,21.37372881,0.778337969,19.68947976,3.481554209
CYPSBA1,2/10/2017,C. microphthalma,1,NT,Bitou,10,s,1,1,9600.6133,14.4687,5699.2344,10,1,0.0915,0.1104,0.1039,280,245,240,265,220,200,23,29,7,31,14,48,3,10,10,0.001,0.379,0.106,0.126,0.005,1.471,0.785,0.408,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,0.8278,0.8301,NA,1.6415,1.6837,NA,NA,NA,NA,NA,NA,NA,NA,5.185,-16.487,4.449,-16.817,0.5824048,5.2979235,4.1538856,33.675231,28.61901639,0.356364537,22.1440168,3.455177367
