"","spe","dens","Sc","Cc","chla","chlb","chlc","chlca","Spro","Hpro","H13C","H15N","S13C","S15N","HCN","SCN","SST","SST_sd","light","light_sd","partition"
"78","P. speciosa",0.00172138872325208,381538.461538461,70461.5384615384,2.6109882051282,0,0.864391282051281,0.331059052796004,57.258925854167,200.960044528083,-17.759,-3.294,-15.625,5.309,6.03523074015348,7.22926315651563,21.87770492,1.255479183,19.6115858,2.265553252,"3"
"79","P. speciosa",0.00168404899454325,382812.500000001,28437.5,2.754484375,0,0.997832291666668,0.362257379538291,48.2536354079563,131.811383556296,-20.225,-0.742,-18.49,4.226,6.33861045177165,8.18043366624681,21.87770492,1.255479183,19.6115858,2.265553252,"3"
"80","P. speciosa",0.0016707586059625,333695.652173913,29347.8260869565,2.25590615942029,0,0.777117028985507,0.344481097203621,78.877209574733,184.926388635106,-17.47,-1.089,-16.143,4.725,7.98921582587041,7.81571731635465,21.87770492,1.255479183,19.6115858,2.265553252,"3"
"81","P. speciosa",0.00136596419460974,179487.179487179,54871.7948717949,4.36412008547008,0.199376495726496,1.30658846153846,0.299393333810548,39.7509160895631,140.003889957639,-19.002,0.667,-18.19,4.35,7.33497530677989,6.88885129292242,27.54295082,1.263945337,20.80831681,2.063311939,"3"
"82","P. speciosa",0.00152821267308528,220689.655172414,27758.6206896552,1.51279367816092,0,0.477318390804598,0.315521143230098,51.0845049247916,158.868006768904,-16.598,-2.804,-15.867,4.76,6.17827910619707,7.35595696192616,27.54295082,1.263945337,20.80831681,2.063311939,"3"
"83","P. speciosa",0.00162092258968672,264935.064935065,51168.8311688312,2.6471025974026,0,0.860286147186147,0.324991614616782,127.748320861362,191.211972646192,-17.029,-5.961,-16.773,4.756,5.74261309141814,6.89910533724512,27.54295082,1.263945337,20.80831681,2.063311939,"3"
"84","P. speciosa",0.00164005708370513,196938.775510204,42040.8163265306,2.83217346938775,0,0.887380952380952,0.313321539789998,91.4653521683696,186.239898968503,-18.078,0.501,-17.507,4.009,6.07885879409579,5.83427669760112,27.54295082,1.263945337,20.80831681,2.063311939,"3"
"85","P. speciosa",0.00124266837732607,352325.581395348,84651.1627906976,2.96185077519379,0,0.934541472868216,0.315526184065458,64.2208559549364,150.930028042116,-16.26,-0.248,-15.093,5.079,7.42130778902771,7.60384581128957,27.54295082,1.263945337,20.80831681,2.063311939,"3"
"86","P. speciosa",0.00146158310154139,233000,34600,3.80693,0.789253666666666,0.842414666666666,0.221284517095578,102.650870389846,189.345217558484,-16.598,-2.804,-15.929,5.067,6.17827910619707,7.17470165418818,27.54295082,1.263945337,20.80831681,2.063311939,"3"
"87","P. speciosa",0.00200046073917214,317647.058823529,27352.9411764706,1.91901666666667,0,0.7002,0.364874371422864,47.9746564156655,169.770703955126,-16.584,-0.648,-16.221,3.823,7.60441564712405,6.92721307871304,28.34967213,1.07605602,19.06912032,4.17121641,"3"
"88","P. speciosa",0.00170186983419778,317721.518987342,32911.3924050633,1.41809029535865,0,0.562715611814346,0.396812257763903,53.187387597054,180.942514018559,-17.431,5.451,-15.827,4.209,7.06242987213397,7.83904986316581,28.34967213,1.07605602,19.06912032,4.17121641,"3"
"89","P. speciosa",0.00188616742818522,210169.491525424,38305.0847457627,1.22623559322034,0,0.529756497175141,0.43201852898748,42.1844483421734,157.080808183441,-16.025,-0.58,-15.939,3.979,9.1717227155772,7.68508641745663,28.34967213,1.07605602,19.06912032,4.17121641,"3"
"90","P. speciosa",0.00200722116236047,264285.714285715,30857.1428571429,0.823701904761906,0.00634428571428575,0.329801904761905,0.400389877521572,61.8308552207459,187.95816349151,-15.582,3.332,-14.41,3.972,6.79135678284542,8.73707824672015,28.34967213,1.07605602,19.06912032,4.17121641,"3"
"91","P. speciosa",0.00174176003684375,350724.637681159,85797.1014492753,1.90278309178744,0.218857971014493,0.577742512077294,0.30363025327,75.4823171767891,191.928672228673,-17.882,-0.582,-16.852,3.436,7.77893268759667,7.95617071690962,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"92","P. speciosa",0.00182113801016711,146835.443037975,20759.4936708861,1.81460084388186,0,0.707335864978903,0.389802455655066,77.0110594891867,263.267994375545,-16.781,0.203,-14.89,3.941,6.73414046438819,8.43644689718313,28.34967213,1.07605602,19.06912032,4.17121641,"3"
"93","P. lutea",0.00100815822228515,152873.563218391,30574.7126436782,0.900187739463602,0.220945812807882,0.438873015873016,0.487534984796093,38.3369196484707,68.7981290332668,-17.206,4.536,-15.607,3.934,7.6575650731493,7.07327678973306,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"94","P. lutea",0.00119476414057888,194736.842105263,25789.4736842105,0.68245739348371,0.0628182957393485,0.281464912280702,0.412428548607145,68.5426098963291,74.4755392097457,-16.66,4.259,-16.817,3.627,7.12359550561798,6.22503371621622,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"95","P. lutea",0.00129275311003767,202777.777777778,65277.7777777778,1.63048425925926,0.0657560185185185,0.531175925925926,0.325778015279487,108.938259579235,116.735738995613,-16.339,4.654,-17.462,4.509,7.58947368421053,6.50495664295875,28.34967213,1.07605602,19.06912032,4.17121641,"3"
"96","P. lutea",0.00135258185857369,143921.568627451,55294.1176470589,1.16379382055853,0.207303624480095,0.389318478906715,0.334525301672313,81.8793902524473,102.502578367507,-15.144,4,-13.392,3.901,7.27364875202885,7.08392603129445,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"97","P. lutea",0.00136497314959339,146341.463414634,54146.3414634146,1.02056356245381,0.142147819660015,0.45259534368071,0.443475899328118,68.1337186960356,135.379529835678,-15.38,3.272,-15.49,3.443,6.71830985915493,6.50147928994083,28.34967213,1.07605602,19.06912032,4.17121641,"3"
"100","P. lutea",0.00141795421778887,274698.795180723,155662.65060241,0.68703734939759,0.100439357429719,0.342034136546185,0.497839217687492,134.801991523386,165.110199675941,-13.414,3.465,-13.697,3.522,7.02972625108304,7.17725258493353,28.34967213,1.07605602,44.06271592,4.294457341,"3"
"101","P. lutea",0.00148272850622985,195833.333333333,86111.1111111111,0.986363636363637,0.378341750841751,0.370454545454546,0.375576036866359,73.5894670661084,154.263807149491,-15.245,3.923,-14.806,3.57,6.58633831325301,5.83898305084746,28.34967213,1.07605602,44.06271592,4.294457341,"1"
"102","P. lutea",0.00131838378604716,137777.777777778,66111.1111111111,0.753742424242425,0.0794966329966331,0.395190235690236,0.524304089805527,90.4055131985433,106.131118811703,-14.015,4.238,-15.221,3.825,8.58677685950413,7.35107913669065,28.34967213,1.07605602,44.06271592,4.294457341,"3"
"103","P. lutea",0.00137376704380031,247297.297297298,56756.7567567568,1.98897502047502,0.199922194922195,0.681142915642917,0.342459260991745,155.634793913143,205.389847949747,-14.382,3.51,-14.291,3.268,8.39977012345679,7.73604826546003,28.34967213,1.07605602,44.06271592,4.294457341,"3"
"105","P. lutea",0.00120307359034789,555696.202531645,121265.82278481,3.29582941531043,0.00677576853526218,1.30557986738999,0.396130898439422,148.38435788555,211.490253453993,-14.406,6.849,-13.297,5.346,7.29103986676629,6.61336828309305,28.61901639,0.356364537,22.1440168,3.455177367,"3"
"106","P. lutea",0.00115125010145194,313580.24691358,55061.7283950617,2.93725514403292,0,1.24245884773663,0.422999973380147,120.362244950324,203.052012047837,-15.581,6.898,-14.785,5.093,6.22857142857143,6.36878453038674,28.61901639,0.356364537,22.1440168,3.455177367,"3"
"107","P. lutea",0.00114119463715432,205555.555555556,47500,2.57041787439614,0.101931964573269,1.13882447665056,0.443050325783354,91.9346189449522,202.346494829999,-14.519,6.484,-14.536,5.351,6.9609375,7.32396449704142,28.61901639,0.356364537,22.1440168,3.455177367,"3"
"108","P. lutea",0.00122570851458201,280263.157894737,78684.2105263158,2.42437324561404,0.0819504385964914,0.936232894736843,0.386175229589995,110.161271231031,162.904985475293,-13.991,6.615,-13.761,5.153,7.66666666666667,6.95692307692308,28.61901639,0.356364537,22.1440168,3.455177367,"3"
"110","P. lutea",0.0012848151300605,355769.230769231,80192.3076923076,2.45141762820513,0.0158701923076926,1.01511506410256,0.414093075134573,99.7494357376025,146.386977525955,-15.45,6.699,-14.461,4.26,7.54424422680412,7.12006319115324,28.61901639,0.356364537,22.1440168,3.455177367,"3"
"111","P. lutea",0.0012232940722661,295454.545454546,29393.9393939394,1.16231818181818,0.15222582972583,0.478808802308803,0.411942968628276,98.9620902382525,103.979446137552,-16.716,4.366,-18.41,2.925,7.56754338028169,6.99334221038615,25.10322581,0.186429381,8.22187065,2.703807284,"1"
"112","P. lutea",0.00142561464784618,288709.677419355,58709.6774193549,3.46505107526882,0.579207526881721,1.01654247311828,0.293370126741759,103.603366647333,147.760145928681,-16.353,4.676,-16.005,3.761,5.537703125,6.46896551724138,25.10322581,0.186429381,8.22187065,2.703807284,"3"
"113","P. lutea",0.00136113135880565,420689.655172414,57241.3793103448,3.17264942528736,0.331692528735632,1.04604597701149,0.329707394921754,126.833751234965,103.113357402159,-18.485,4.427,-18.288,3.157,6.26361205128205,7.1898355754858,25.10322581,0.186429381,8.22187065,2.703807284,"3"
"114","P. lutea",0.00133334997507003,272727.272727273,20000,1.81953308596166,0.221745207173779,0.729649350649351,0.401009113974818,100.864384004198,120.356764958248,-15.501,4.993,-15.843,3.277,6.29225930555556,6.56797583081571,25.10322581,0.186429381,8.22187065,2.703807284,"3"
"116","P. lutea",0.00117942966993556,257407.407407407,45925.9259259259,1.64444268077601,0.0932791005291006,0.644076719576719,0.391668695483372,59.4632516688287,91.4349463303591,-17.347,4.303,-17.245,2.914,6.36363636363636,6.41248303934871,25.10322581,0.186429381,8.22187065,2.703807284,"1"
"118","P. lutea",0.00113752080920264,295384.615384615,87076.923076923,1.51013897435897,0.0405938461538462,0.740382051282051,0.490274116391393,153.678568144223,111.568256494014,-13.823,5.064,-14.121,3.882,7.07008839913831,5.85185185185185,25.10322581,0.186429381,23.55455652,5.33163119,"3"
"120","P. lutea",0.00128704994092101,402985.074626866,100597.014925373,2.17259113523293,0.0345278154681142,0.877273179556762,0.403791199057207,161.832652406102,131.749496753505,-15.158,4.234,-16.1,4.087,6.12873955555555,6.22988505747126,25.10322581,0.186429381,23.55455652,5.33163119,"3"
"121","P. lutea",0.00115234281689553,248854.961832061,1e+05,1.69621246819338,0.103629770992367,0.622609414758269,0.367058624101144,138.57562602673,184.41464997256,-13.892,3.935,-14.598,3.624,8.38596879203989,6.46927957573062,25.10322581,0.186429381,23.55455652,5.33163119,"3"
"122","P. lutea",0.00141766114735597,351764.705882353,77882.3529411764,1.57507308377896,0.0527486631016043,0.622345811051693,0.395121862890668,186.529461155164,132.781625244624,-13.521,3.967,-13.484,3.241,5.99596662337662,5.5438175270108,25.10322581,0.186429381,23.55455652,5.33163119,"3"
"123","P. lutea",0.0012365249670807,497777.777777778,177481.481481482,3.01534049382716,0.0309012345679014,0.954090617283951,0.316412232461678,153.489752831268,204.151093923808,-15.458,5.902,-15.634,4.907,6.72561501625959,5.52914285714286,21.37372881,0.778337969,19.68947976,3.481554209,"3"
"124","P. lutea",0.00112259992390195,367857.142857143,38809.5238095238,2.51735416666667,0.0296567460317461,0.878348214285714,0.348917218687894,123.693413773383,206.002890542191,-15.796,6.264,-17.012,5.102,6.83333333333333,6.12191358024691,21.37372881,0.778337969,19.68947976,3.481554209,"3"
"125","P. lutea",0.00106971186057158,361000,102400,2.68213133333333,0,0.971724666666665,0.362295706623364,154.687388832108,174.077319552241,-15.366,6.022,-15.812,5.186,6.88148148148148,5.48598130841122,21.37372881,0.778337969,19.68947976,3.481554209,"3"
"126","P. lutea",0.00109438963299346,168571.428571429,93142.8571428572,1.75320285714286,0.00580063492063501,0.547477777777778,0.312272921269354,178.217786689324,163.286912977767,-13.728,6.415,-14.664,4.584,6.57093201612903,5.75,21.37372881,0.778337969,19.68947976,3.481554209,"3"
"127","P. lutea",0.00115132584984014,316853.932584269,64044.9438202247,2.29157517388978,0.0472073301230604,0.802214553237024,0.350071235880656,91.4135476460021,205.561206353784,-14.986,6.597,-14.11,4.553,6.88888888888889,6.13245997088792,21.87770492,1.255479183,18.96877719,0.691423339,"3"
"128","P. lutea",0.00105580669320879,313513.513513514,61621.6216216216,2.52788048048048,0.00430300300300316,0.981967567567568,0.388454903287565,97.6504111995329,160.392744505506,-15.605,5.476,-14.96,3.695,6.32840043010753,7.07553168205965,21.87770492,1.255479183,18.96877719,0.691423339,"3"
"130","P. profundacella",0.00181646094363147,82692.3076923075,25769.2307692307,4.40941346153845,0.909999358974358,1.00335961538461,0.22754945167572,27.965010374507,122.149688092942,-15.812,3.333,-16.808,2.454,6.38018103469854,7.88200306234856,25.10322581,0.186429381,23.55455652,5.33163119,"1"
"132","P. profundacella",0.00167626958344725,254901.960784314,26274.5098039216,3.26700588235294,0.963944444444446,0.644135294117648,0.197163799917536,25.5543692958084,83.5520860297766,-18.219,3.793,-18.943,2.781,6.11569278724546,7.74075519961549,25.10322581,0.186429381,23.55455652,5.33163119,"1"
"134","P. profundacella",0.00131680090125977,316666.666666666,42916.6666666666,4.07769305555554,0.305825,0.941101388888886,0.230792601617404,36.4425668443063,179.383148618429,-18.977,2.977,-19.404,2.185,7.26308365335787,7.82461530994322,25.10322581,0.186429381,8.22187065,2.703807284,"1"
"135","P. profundacella",0.00161929226380852,145384.615384615,36923.076923077,2.31582628205128,0.389289102564103,0.597782692307693,0.258129332472294,20.3423695489086,130.014552821197,-19.517,3.568,-20.943,1.794,6.04600956666896,8.39075868019387,25.10322581,0.186429381,9.450157491,2.955163827,"1"
"136","P. profundacella",0.00178301582744784,207017.543859649,21754.3859649122,2.23737426900584,0.106918964076859,0.58263909774436,0.260411995353486,30.4983806167746,181.094858252293,-18.31,3.981,-18.282,3.169,6.4746977358018,7.27956586392915,25.10322581,0.186429381,9.450157491,2.955163827,"1"
"137","P. profundacella",0.00173937777402575,235416.666666667,15000,3.96287430555556,0.957493750000001,0.819785416666667,0.206866368564203,31.9188567800326,115.729840169101,-17.6,4.27,-17.698,3.347,6.22056012699819,8.78282660350001,25.10322581,0.186429381,8.22187065,2.703807284,"1"
"138","P. profundacella",0.00184097627586207,368627.450980392,45490.1960784313,2.15092343604108,0.271786181139122,0.756114845938374,0.351530339606162,31.7309168311033,153.44884583546,-18.23,4.012,-17.941,3.571,7.12586221741041,8.92578674004682,25.10322581,0.186429381,8.22187065,2.703807284,"1"
"139","P. profundacella",0.00197582270770745,161176.470588236,77647.0588235295,2.73881503267974,0.848617647058825,0.659654248366014,0.240853887719678,18.6574867892107,220.130416059212,-14.313,3.451,-15.453,2.471,8.58931341274254,8.76615009314723,28.34967213,1.07605602,44.06271592,4.294457341,"1"
"140","P. profundacella",0.00144847358158537,152916.666666667,16250,4.15107361111111,1.6989875,0.6167125,0.148566987188388,34.3611957586622,178.397029563306,-13.764,4.413,-14.619,2.941,8.6129490034519,9.9276490504614,28.34967213,1.07605602,44.06271592,4.294457341,"1"
"141","P. profundacella",0.00183048271695292,204081.632653061,53061.2244897959,2.6392231292517,0.676795238095238,0.548816326530612,0.207946164326856,17.6878692286817,147.821252161658,-14.107,3.548,-13.895,2.588,8.16434583656602,9.02887917094702,28.34967213,1.07605602,44.06271592,4.294457341,"1"
"142","P. profundacella",0.00167939358200236,134418.604651163,40000,3.18295968992248,1.09161705426357,0.592075968992248,0.186014284399143,19.6213474824621,105.292944009385,-15.082,4.596,-15.504,3.121,7.44779351949213,7.65480188082418,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"143","P. profundacella",0.00165562008349464,176818.181818182,40909.0909090909,1.62954015151515,0.276526515151515,0.52193106060606,0.320293464460368,27.914688206771,114.771609271115,-15.796,4.217,-15.275,3.719,6.69487242245854,7.80788539232106,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"145","P. profundacella",0.00176779878085967,219130.434782608,16521.7391304348,2.60851884057971,0.617094927536231,0.658262318840579,0.252350992678393,31.9772033234832,134.799908019131,-17.248,3.575,-15.993,3.662,10.3024611434884,8.95973996844757,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"146","P. profundacella",0.00153743981791152,107346.93877551,10204.0816326531,2.08851564625851,0.147768707482994,0.567696598639457,0.271818216759095,21.2650839347687,129.061310379848,-16.787,4.171,-16.887,4.049,7.40176054835866,8.4972399868034,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"147","P. profundacella",0.00199939738651965,74146.3414634148,5853.65853658538,2.44944634146342,0.733925203252034,0.574300000000001,0.234461147516661,17.0101751500895,146.31695196447,-17.278,3.793,-17.617,3.513,7.19006973464537,9.61766497916386,28.34967213,1.07605602,19.06912032,4.17121641,"1"
"148","P. profundacella",0.00133958739424867,808988.764044943,20898.8764044944,4.70425243445693,0.0956112359550567,1.48292509363296,0.31523076499277,56.5456371094458,272.125349115999,-14.902,5.598,-14.739,4.179,7.74850431027699,8.13823655161652,21.87770492,1.255479183,18.96877719,0.691423339,"3"
"149","P. profundacella",0.0016029875237843,276470.588235294,36078.4313725491,4.2234614379085,0.610684967320262,1.10101960784314,0.260691289367703,39.9774746703462,154.157295953072,-18.667,5.513,-18.716,4.529,6.75218221805751,7.52061638854949,21.87770492,1.255479183,18.96877719,0.691423339,"3"
"150","P. profundacella",0.00137874592115163,352325.581395348,24418.6046511628,3.36496007751938,0.118331395348837,1.04333372093023,0.310058276144355,50.5009341901512,207.158699428522,-16.182,5.241,-15.202,4.661,7.03860670009185,8.20582913656832,21.87770492,1.255479183,18.96877719,0.691423339,"3"
"151","P. profundacella",0.00135031930001403,562711.864406779,16949.1525423729,4.82713220338983,0.0672146892655368,1.53288813559322,0.317556692256482,49.4853453712644,224.058604492911,-15.383,6.194,-15.264,4.362,6.98366615376998,7.6875946385478,21.87770492,1.255479183,18.96877719,0.691423339,"3"
